"Group","Practice","Guidance","Reference","Done","Notes"
"Security best practices for your VPC","When you add subnets to your VPC to host your application, create …","When you add subnets to your VPC to host your application, create them in multiple Availability Zones. An Availability Zone is one or more discrete data centers with redundant power, networking, and connectivity in an AWS Region. Using multiple Availability Zones makes your production applications highly available, fault tolerant, and scalable.","","",""
"Security best practices for your VPC","Use security groups to control traffic to EC2 instances in your subnets.","","Security groups","",""
"Security best practices for your VPC","Use network ACLs to control inbound and outbound traffic at the subnet …","Use network ACLs to control inbound and outbound traffic at the subnet level.","Control subnet traffic with network access control lists","",""
"Security best practices for your VPC","Manage access to AWS resources in your VPC using AWS Identity and …","Manage access to AWS resources in your VPC using AWS Identity and Access Management (IAM) identity federation, users, and roles.","Identity and access management for Amazon VPC","",""
"Security best practices for your VPC","Use VPC Flow Logs to monitor the IP traffic going to and …","Use VPC Flow Logs to monitor the IP traffic going to and from a VPC, subnet, or network interface.","VPC Flow Logs","",""
"Security best practices for your VPC","Use Network Access Analyzer to identify unintended network access to resources in …","Use Network Access Analyzer to identify unintended network access to resources in our VPCs.","the Network Access Analyzer Guide","",""
"Security best practices for your VPC","Use AWS Network Firewall to monitor and protect your VPC by filtering …","Use AWS Network Firewall to monitor and protect your VPC by filtering inbound and outbound traffic.","the AWS Network Firewall Guide","",""
"Security best practices for your VPC","Use Amazon GuardDuty to detect potential threats to your accounts, containers, workloads, …","Use Amazon GuardDuty to detect potential threats to your accounts, containers, workloads, and data within your AWS environment. The foundational threat detection includes monitoring the VPC flow logs associated with your Amazon EC2 instances. For answers to frequently asked questions related to VPC security, see Security and Filtering in the Amazon VPC FAQs.","VPC Flow Logs in the Amazon GuardDuty User Guide","",""
