"Group","ID","Item","Guidance","Done","Notes"
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.9","USING AUGENRULES TO DEFINE PERSISTENT RULES                                       135","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.10","DISABLING AUGENRULES                                                             136","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.11","SETTING UP AUDIT TO MONITOR SOFTWARE UPDATES                                     137","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.12","MONITORING USER LOGIN TIMES WITH AUDIT                                           139","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.13","ADDITIONAL RESOURCES                                                             140",".C.H. .A.P. .T.E. R. .1.2...B. .L.O. .C.K. .IN. .G. .A. .N.D. .A. .L.L. O. .W. .I.N. G. . .A.P. P. .L.I.C. A. .T.I.O. .N.S. .B. Y. . U. .S. I.N. .G. .F.A. .P.O. .L.I.C.Y. .D. . . . . . . . . . . . . . . . . . . . . . . . . .14. .1. . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.1","INTRODUCTION TO FAPOLICYD                                                         141","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.2","DEPLOYING FAPOLICYD                                                               143","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.3","MARKING FILES AS TRUSTED USING AN ADDITIONAL SOURCE OF TRUST                      144","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.4","ADDING CUSTOM ALLOW AND DENY RULES FOR FAPOLICYD                                  145","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.5","ENABLING FAPOLICYD INTEGRITY CHECKS                                               148","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.6","TROUBLESHOOTING PROBLEMS RELATED TO FAPOLICYD                                     149","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.7","PREVENTING USERS FROM EXECUTING UNTRUSTWORTHY CODE BY USING THE FAPOLICYD RHEL","SYSTEM ROLE 151","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","12.8","ADDITIONAL RESOURCES                                            153",".C.H. .A.P. .T.E. R. .1.3...P. .R.O. .T.E. .C.T. I.N. .G. .S.Y. .S.T. E. .M. .S. .A.G. .A.I.N. S. .T. .IN. .T.R. .U.S. .IV. .E. U. .S. B. . D. .E. V. .IC. .E. S. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.5.4. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.1","USBGUARD                                                        154","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.2","INSTALLING USBGUARD                                             154","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.3","BLOCKING AND AUTHORIZING A USB DEVICE BY USING CLI              155","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.4","PERMANENTLY BLOCKING AND AUTHORIZING A USB DEVICE               156","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.5","CREATING A CUSTOM POLICY FOR USB DEVICES                        157","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.6","CREATING A STRUCTURED CUSTOM POLICY FOR USB DEVICES             158","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.7","AUTHORIZING USERS AND GROUPS TO USE THE USBGUARD IPC INTERFACE  160","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.8","LOGGING USBGUARD AUTHORIZATION EVENTS TO THE LINUX AUDIT LOG    161","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","13.9","ADDITIONAL RESOURCES                                            162","Table of Contents ¶ PROVIDING FEEDBACK ON RED HAT DOCUMENTATION ¶ We are committed to providing high-quality documentation and value your feedback. To help us improve, you can submit suggestions or report errors through the Red Hat Jira tracking system. ¶ 1. Log in to the Jira website. If you do not have an account, select the option to create one. ¶ 2. Click Create in the top navigation bar. ¶ 3. Enter a descriptive title in the Summary field. ¶ 4. Enter your suggestion for improvement in the Description field. Include links to the relevant ¶ parts of the documentation. ¶ 5. Click Create at the bottom of the dialogue.","",""
"SECURING RHEL DURING AND RIGHT AFTER INSTALLATION","1.1","DISK PARTITIONING","The recommended practices for disk partitioning differ for installations on bare-metal machines and for virtualized or cloud environments that support adjusting virtual disk hardware and file systems containing already-installed operating systems. ¶ To ensure separation and protection of data on bare-metal installations, create separate partitions for the /boot, /, /home, /tmp, and /var/tmp/ directories: ¶ /boot This partition is the first partition that is read by the system during boot up. The boot loader and kernel images that are used to boot your system into RHEL 8 are stored in this partition. This partition should not be encrypted. If this partition is included in / and that partition is encrypted or otherwise becomes unavailable then your system is not able to boot. ¶ /home When user data (/home) is stored in / instead of in a separate partition, the partition can fill up causing the operating system to become unstable. Also, when upgrading your system to the next version of RHEL 8 it is a lot easier when you can keep your data in the /home partition as it is not be overwritten during installation. If the root partition (/) becomes corrupt your data could be lost forever. By using a separate partition there is slightly more protection against data loss. You can also target this partition for frequent backups. ¶ /tmp and /var/tmp/ Both the /tmp and /var/tmp/ directories are used to store data that does not need to be stored for a long period of time. However, if a lot of data floods one of these directories it can consume all of your storage space. If this happens and these directories are stored within / then your system could become unstable and crash. For this reason, moving these directories into their own partitions is a good idea. ¶ For virtual machines or cloud instances, the separate /boot, /home, /tmp, and /var/tmp partitions are optional because you can increase the virtual disk size and the / partition if it begins to fill up. Set up monitoring to regularly check the / partition usage so that it does not fill up before you increase the virtual disk size accordingly. ¶ During the installation process, you have an option to encrypt partitions. You must supply a passphrase. This passphrase serves as a key to unlock the bulk encryption key, which is used to secure the partition's data. ¶ 1.2. RESTRICTING NETWORK CONNECTIVITY DURING THE INSTALLATION PROCESS ¶ When installing RHEL 8, the installation medium represents a snapshot of the system at a particular time. Because of this, it may not be up-to-date with the latest security fixes and may be vulnerable to certain issues that were fixed only after the system provided by the installation medium was released. ¶ When installing a potentially vulnerable operating system, always limit exposure only to the closest necessary network zone. The safest choice is the ""no network"" zone, which means to leave your machine disconnected during the installation process. In some cases, a LAN or intranet connection is sufficient while the Internet connection is the riskiest. To follow the best security practices, choose the closest zone with your repository while installing RHEL 8 from a network.","",""
"SECURING RHEL DURING AND RIGHT AFTER INSTALLATION","1.3","INSTALLING THE MINIMUM AMOUNT OF PACKAGES REQUIRED","It is best practice to install only the packages you will use because each piece of software on your computer could possibly contain a vulnerability. If you are installing from the DVD media, take the opportunity to select exactly what packages you want to install during the installation. If you find you need another package, you can always add it to the system later.","",""
