"Group","ID","Item","Guidance","Done","Notes"
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.1","NETWORK-BOUND DISK ENCRYPTION                                                     99","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.2","DEPLOYING A TANG SERVER WITH SELINUX IN ENFORCING MODE                            101","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.3","ROTATING TANG SERVER KEYS AND UPDATING BINDINGS ON CLIENTS                        102","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.4","CONFIGURING AUTOMATED UNLOCKING BY USING A TANG KEY IN THE WEB CONSOLE            104","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.5","BASIC NBDE AND TPM2 ENCRYPTION-CLIENT OPERATIONS                                  106","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.6","CONFIGURING NBDE CLIENTS FOR AUTOMATED UNLOCKING OF LUKS-ENCRYPTED VOLUMES 108","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.7","CONFIGURING NBDE CLIENTS WITH STATIC IP CONFIGURATION                             110","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.8","CONFIGURING MANUAL ENROLLMENT OF LUKS-ENCRYPTED VOLUMES BY USING A TPM 2.0","POLICY 110","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.9","REMOVING A CLEVIS PIN FROM A LUKS-ENCRYPTED VOLUME MANUALLY                       112","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.10","CONFIGURING AUTOMATED ENROLLMENT OF LUKS-ENCRYPTED VOLUMES BY USING KICKSTART","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.11","CONFIGURING AUTOMATED UNLOCKING OF A LUKS-ENCRYPTED REMOVABLE STORAGE DEVICE","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.12","DEPLOYING HIGH-AVAILABILITY NBDE SYSTEMS                                         115","High-available NBDE using Shamir's Secret Sharing 116 ¶ Example 1: Redundancy with two Tang servers 116 ¶ Example 2: Shared secret on a Tang server and a TPM device 116","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.13","DEPLOYMENT OF VIRTUAL MACHINES IN A NBDE NETWORK                                 117","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.14","BUILDING AUTOMATICALLY-ENROLLABLE VM IMAGES FOR CLOUD ENVIRONMENTS BY USING","NBDE 117","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","10.15","DEPLOYING TANG AS A CONTAINER                                                    118","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      119","10.16.1","Using the nbde_server RHEL system role for setting up multiple Tang servers    119","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      119","10.16.2","Setting up Clevis clients with DHCP by using the nbde_client RHEL system role  121","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      119","10.16.3","Setting up static-IP Clevis clients by using the nbde_client RHEL system role  122",".C.H. .A.P. .T.E. R. .1.1. .A.U. .D. I.T.I.N. G. . .T.H. .E. S. .Y. S. .T.E. M. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.2.5. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.1","LINUX AUDIT                                                                       125","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.2","AUDIT SYSTEM ARCHITECTURE                                                         126","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.3","CONFIGURING AUDITD FOR A SECURE ENVIRONMENT                                       127","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.4","STARTING AND CONTROLLING AUDITD                                                   128","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.5","UNDERSTANDING AUDIT LOG FILES                                                     129","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.6","USING AUDITCTL FOR DEFINING AND EXECUTING AUDIT RULES                             133","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.7","DEFINING PERSISTENT AUDIT RULES                                                   134","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .9.9. . . . . . . . . . . . .","11.8","PRE-CONFIGURED AUDIT RULES FILES FOR COMPLIANCE WITH STANDARDS                    134","","",""
